detail;type_id;skill_name;skill_employee_username
transmitting;1;Kenya;calculate networks
Spain;2;streamline;Tuna Bedfordshire
contingency violet Chips;3;transparent niches;Handmade Assistant
Plains Krone Fish;4;driver Ball;Sleek
Avon East;5;Vista Ergonomic;reinvent orchestrate
Orchestrator;6;Guinea-Bissau;mobile Granite
Senior tangible Investment;7;haptic Metrics;pink
Baby;8;Berkshire open-source;deposit Soap Marketing
Hat Data;9;back-end;Kiribati Group
Object-based Africa hack;10;extranet;Cambridgeshire Automated
