name;level;employee_id;teacher_id
Kenya;72900;calculate networks;calculate networks
streamline;4874;Tuna Bedfordshire;Tuna Bedfordshire
transparent niches;86117;Handmade Assistant;Handmade Assistant
driver Ball;75563;Sleek;Sleek
Vista Ergonomic;71597;reinvent orchestrate;reinvent orchestrate
Guinea-Bissau;75469;mobile Granite;mobile Granite
haptic Metrics;8463;pink;pink
Berkshire open-source;91528;deposit Soap Marketing;deposit Soap Marketing
back-end;81396;Kiribati Group;Kiribati Group
extranet;58980;Cambridgeshire Automated;Cambridgeshire Automated
